公司,代码,链条角色,收盘价(元,2026-07-17),总市值(亿元),PE_TTM,PB_MRQ,估值数据日期,2026Q1营收(亿元),营收同比%,2026Q1归母(亿元),归母同比%,毛利率%,资产负债率%,2026H1业绩预告,数据源
宁德时代,300750.SZ,锂电/储能龙头,360.00,16655.94,21.09,4.66,2026-07-17,1291.31,52.45,207.38,48.52,,62.32,未披露(7月下旬),Gildata价值分析+财务报表
亿纬锂能,300014.SZ,储能电芯二线龙头,51.67,1122.94,28.38,2.91,PE/PB为2026-07-07,206.80,61.61,14.46,31.35,,64.89,预盈31.3-33.7亿(+95%~110%),Gildata+业绩预告
阳光电源,300274.SZ,储能系统/逆变器龙头,101.61,2106.59,17.66,4.33,2026-07-17,155.61,-18.26,22.91,-40.12,33.26,57.51,未披露,Gildata价值分析+财务报表
通威股份,600438.SH,硅料+电池片龙头,10.48,471.81,-5.48,1.47,PE/PB为2026-07-07,121.25,-23.90,-24.44,5.72(减亏),-4.03,74.23,预亏48-54亿(上年同期亏49.55亿),Gildata+业绩预告
隆基绿能,601012.SH,硅片+组件龙头,11.75,约890,-13.40,1.83,PE/PB为2026-07-07(市值925.28亿),111.92,-18.03,-19.20,-33.68(亏损扩大),-1.19,66.08,预亏34-38亿(上年同期亏25.69亿),Gildata+业绩预告
大全能源,688303.SH,硅料(资产负债表最干净),15.80,338.94,-26.52,0.95,PE/PB为2026-07-07,1.89,-79.22,-8.01,-43.51,-120.76,7.41,,Gildata价值分析+财务报表
福斯特,603806.SH,光伏胶膜龙头(低负债),13.83,360.79,57.17,2.40,PE/PB为2026-07-07,33.73,-6.95,3.12,-22.27,13.83,19.98,,Gildata价值分析+财务报表
阿特斯,688472.SH,组件+储能(盈利韧性),,328.61,22.09,1.39,2026-07-17,71.29,-16.96,5.19,999.10,,62.49,,Gildata价值分析+财务报表
天赐材料,002709.SZ,电解液龙头(锂电材料弹性),35.62,726.14,25.33,3.81,2026-07-17,66.73,91.29,16.54,1005.75,,35.56,,Gildata价值分析+财务报表
国轩高科,002074.SZ,锂电二线(增收不增利对照),26.91,488.34,20.85,1.66,PE/PB为2026-07-07,117.08,29.30,0.21,-79.04,16.06,71.97,,Gildata价值分析+财务报表
